step,n,n_valid,valid_frac,raw_min,raw_p25,raw_median,raw_mean,raw_p75,raw_max,reward_min,reward_p25,reward_median,reward_mean,reward_p75,reward_max
0,15,3,0.2000,0.459347,0.474488,0.489629,0.482261,0.493718,0.497807,2.00881,2.02559,2.04236,2.07606,2.10968,2.177
1,15,5,0.3333,0.394207,0.429089,0.489629,0.462847,0.497807,0.503503,1.98609,2.00881,2.04236,2.1809,2.33052,2.53674
2,15,10,0.6667,0.392849,0.394207,0.423209,0.425933,0.429089,0.489629,2.04236,2.33052,2.36335,2.36282,2.53674,2.54551
3,15,12,0.8000,0.386947,0.392849,0.394207,0.400264,0.394207,0.456953,2.18841,2.53674,2.53674,2.50315,2.54551,2.58433
4,15,11,0.7333,0.385273,0.391998,0.392359,0.391829,0.394207,0.394207,2.53674,2.53674,2.54869,2.55227,2.55104,2.59556
5,15,10,0.6667,0.383798,0.385273,0.386947,0.386653,0.386947,0.390318,2.56202,2.58433,2.58433,2.58636,2.59556,2.60554
6,15,6,0.4000,0.383798,0.38416,0.385247,0.384769,0.38525,0.385273,2.59556,2.59572,2.59574,2.59897,2.60309,2.60554
7,15,12,0.8000,0.383796,0.383798,0.383798,0.3844,0.385243,0.385244,2.59575,2.59577,2.60554,2.60146,2.60554,2.60555
8,15,7,0.4667,0.383792,0.383797,0.383798,0.408224,0.418837,0.484707,2.0631,2.40439,2.60554,2.47058,2.60554,2.60558
9,15,11,0.7333,0.383171,0.383792,0.383796,0.39209,0.383798,0.475659,2.10235,2.60554,2.60555,2.56019,2.60557,2.6098
10,15,9,0.6000,0.382946,0.383315,0.383793,0.397521,0.383793,0.509519,1.96264,2.60557,2.60557,2.53578,2.60882,2.61133
11,15,9,0.6000,0.382039,0.382153,0.382946,0.397769,0.385394,0.494471,2.02236,2.59475,2.61133,2.53014,2.61675,2.61753
12,15,9,0.6000,0.382006,0.382063,0.38233,0.396619,0.384074,0.499443,2.00223,2.60367,2.61554,2.53888,2.61737,2.61776
13,15,10,0.6667,0.382005,0.38202,0.382063,0.382046,0.382063,0.382063,2.61737,2.61737,2.61737,2.61749,2.61766,2.61777
14,15,11,0.7333,0.382005,0.382005,0.382005,0.39315,0.382063,0.50437,1.98267,2.61737,2.61777,2.55989,2.61777,2.61777
15,15,15,1.0000,0.382005,0.382005,0.382005,0.382024,0.382063,0.382063,2.61737,2.61737,2.61777,2.61764,2.61777,2.61777
16,15,14,0.9333,0.382005,0.382005,0.382005,0.382005,0.382005,0.382005,2.61777,2.61777,2.61777,2.61777,2.61777,2.61777
17,15,14,0.9333,0.382005,0.382005,0.382005,0.382005,0.382005,0.382005,2.61777,2.61777,2.61777,2.61777,2.61777,2.61777
18,15,15,1.0000,0.382005,0.382005,0.382005,0.382005,0.382005,0.382005,2.61777,2.61777,2.61777,2.61777,2.61777,2.61777
19,15,15,1.0000,0.382005,0.382005,0.382005,0.382005,0.382005,0.382005,2.61777,2.61777,2.61777,2.61777,2.61777,2.61777
20,15,15,1.0000,0.382005,0.382005,0.382005,0.382005,0.382005,0.382005,2.61777,2.61777,2.61777,2.61777,2.61777,2.61777
