step,n,n_valid,valid_frac,raw_min,raw_p25,raw_median,raw_mean,raw_p75,raw_max,reward_min,reward_p25,reward_median,reward_mean,reward_p75,reward_max
0,240,22,0.0917,0.384023,0.444444,0.489629,0.472512,0.49977,0.524821,1.90541,2.00092,2.04236,2.13145,2.25,2.60401
1,240,99,0.4125,0.383453,0.399776,0.438522,0.437038,0.444446,0.932984,1.07183,2.24999,2.28039,2.31789,2.5014,2.60788
2,480,329,0.6854,0.381879,0.383833,0.38941,0.39412,0.390955,0.531294,1.8822,2.55784,2.56799,2.54338,2.6053,2.61863
3,512,302,0.5898,0.381476,0.381879,0.382515,0.386268,0.382965,0.504304,1.98293,2.6112,2.61428,2.59254,2.61863,2.6214
4,512,303,0.5918,0.381345,0.381645,0.381713,0.383919,0.382109,0.501585,1.99368,2.61706,2.61977,2.60667,2.62023,2.6223
5,512,405,0.7910,0.381149,0.381382,0.381443,0.383142,0.381641,0.518574,1.92837,2.62027,2.62163,2.61186,2.62204,2.62364
6,512,415,0.8105,0.381051,0.381214,0.381301,0.383688,0.381368,0.550781,1.8156,2.62214,2.6226,2.60953,2.6232,2.62432
7,512,399,0.7793,0.381014,0.381117,0.381139,0.382226,0.381345,0.508315,1.96728,2.6223,2.62372,2.61744,2.62387,2.62457
8,512,393,0.7676,0.381012,0.381038,0.381087,0.38145,0.381109,0.444444,2.25,2.62392,2.62407,2.62179,2.62441,2.62459
9,512,406,0.7930,0.381003,0.381021,0.381027,0.381403,0.381041,0.490893,2.0371,2.62439,2.62449,2.62231,2.62453,2.62465
10,512,449,0.8770,0.380996,0.381006,0.381008,0.382547,0.381017,0.512482,1.95129,2.62455,2.62461,2.61576,2.62463,2.6247
11,512,491,0.9590,0.380995,0.380999,0.381005,0.381291,0.381005,0.487408,2.05167,2.62464,2.62464,2.623,2.62468,2.62471
12,512,494,0.9648,0.380994,0.380995,0.380998,0.381052,0.381003,0.395931,2.52569,2.62465,2.62469,2.62432,2.6247,2.62471
13,512,495,0.9668,0.38099,0.380994,0.380994,0.381036,0.380995,0.388044,2.57703,2.6247,2.62471,2.62443,2.62471,2.62474
14,512,489,0.9551,0.380989,0.38099,0.380992,0.381142,0.380993,0.418052,2.39205,2.62472,2.62473,2.62376,2.62474,2.62475
15,512,488,0.9531,0.380989,0.380989,0.38099,0.381063,0.380991,0.397291,2.51705,2.62474,2.62474,2.62426,2.62475,2.62475
16,512,498,0.9727,0.380988,0.380989,0.380989,0.381323,0.380989,0.5,2,2.62475,2.62475,2.62289,2.62475,2.62475
17,512,501,0.9785,0.380988,0.380989,0.380989,0.381018,0.380989,0.384431,2.60124,2.62475,2.62475,2.62455,2.62475,2.62475
18,512,495,0.9668,0.380988,0.380988,0.380989,0.381184,0.380989,0.43171,2.31637,2.62475,2.62475,2.62352,2.62475,2.62475
19,512,496,0.9688,0.380988,0.380988,0.380988,0.38124,0.380988,0.415934,2.40423,2.62475,2.62475,2.62312,2.62475,2.62475
20,512,496,0.9688,0.380988,0.380988,0.380988,0.381124,0.380988,0.41536,2.40755,2.62475,2.62475,2.62388,2.62475,2.62475
21,512,490,0.9570,0.380988,0.380988,0.380988,0.381077,0.380988,0.393341,2.54232,2.62475,2.62475,2.62415,2.62475,2.62475
22,512,480,0.9375,0.380988,0.380988,0.380988,0.381058,0.380988,0.391025,2.55738,2.62475,2.62475,2.62428,2.62475,2.62475
23,512,495,0.9668,0.380988,0.380988,0.380988,0.381363,0.380988,0.434122,2.3035,2.62475,2.62475,2.62231,2.62475,2.62475
24,512,488,0.9531,0.380988,0.380988,0.380988,0.381215,0.380988,0.410736,2.43466,2.62475,2.62475,2.62326,2.62475,2.62475
