```python
import numpy as np
import scipy.optimize as optimize
import cvxpy as cp
import time

# Pre-imported functions
from evaluate_erdos_solution import evaluate_erdos_solution
from initial_h_values import initial_h_values

def run(seed=42, budget_s=60, **kwargs):
    np.random.seed(seed)
    start_time = time.time()

    # Parameters
    n_points = 100  # Start with 100 points for speed
    dx = 2.0 / n_points
    max_iterations = 100  # Limit iterations to stay within budget
    tolerance = 1e-4  # Tolerance for convergence

    # Define the initial guess from the provided initial_h_values
    initial_guess = initial_h_values
    if len(initial_guess) != n_points:
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
        initial_guess = np.random.rand(n_points)
