```python
import numpy as np
import scipy.optimize as optimize
import time
from scipy.optimize import minimize

def run(seed=42, budget_s=600):
    np.random.seed(seed)
    n_points = 200
    dx = 2.0 / n_points
    initial_h = initial_h_values
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
    initial_h = np.interp(np.linspace(0, 2, n_points), np.unique(initial_h), np.sort(initial_h))
